date,sport,game,bet,market,odds,book,units,confidence,result,units_result,post_slate_tag,notes
2026-05-26,MLB,Minnesota Twins @ Chicago White Sox,Joe Ryan Over 6.5 Strikeouts,pitcher_strikeouts,123,DraftKings,2,MEDIUM,L,-2.0,model miss,"Joe Ryan is one of the highest-strikeout-rate starters in the AL and faces a White Sox lineup that ranks among the worst in the league in contact rate and strikeout avoidance. At +123, the line offers genuine plus-money value on a line that would typically be priced near even juice given Ryan's profile, and plus-money on a 6.5 K line is exactly the threshold where the ESM framework permits this bet type."
2026-05-26,MLB,Cincinnati Reds @ New York Mets,Chase Burns Over 6.5 Strikeouts,pitcher_strikeouts,-121,DraftKings,2,MEDIUM,W,1.65,,"Chase Burns is among the elite strikeout arms in the NL and the Mets lineup has struggled with swing-and-miss pitching in 2026. At -121, this is exactly at the juice ceiling for a sub-6.5 line — however, Burns's K profile against a below-average contact Mets lineup makes the implied 54.7% a slight underestimate of his true probability here. This is a borderline play that passes the -130 hard ceiling."
2026-05-26,MLB,Tampa Bay Rays @ Baltimore Orioles,Griffin Jax Over 5.5 Strikeouts,pitcher_strikeouts,129,DraftKings,2,MEDIUM,L,-2.0,model miss,"Griffin Jax at +129 on a 5.5 K line is excellent value — the plus-money pricing on a 5.5 line suggests the market is uncertain about his workload or role, but the Rays lineup presents a genuine strikeout environment and the price more than compensates. Plus-money on a 5.5 K line with a pitcher who has swing-and-miss in his arsenal is exactly the type of value the ESM framework targets."
2026-05-26,MLB,New York Yankees @ Kansas City Royals,Aaron Judge Over 1.5 Total Bases,batter_total_bases,-122,DraftKings,2,MEDIUM,pending,0,,"Aaron Judge is the best hitter on the best team in this game facing a Royals rotation that has a 5.16 ERA at home in 2026. At -122 on a 1.5 total bases line, the implied probability of 54.9% underestimates Judge's ability to reach base multiple times or hit for extra bases against a below-.500 Royals club. The Yankees are heavy -205 ML favorites, creating a game environment where Judge will see quality at-bats."
2026-05-26,MLB,Minnesota Twins @ Chicago White Sox,Byron Buxton Over 1.5 Total Bases,batter_total_bases,-110,DraftKings,2,MEDIUM,pending,0,,"Buxton at -110 on a 1.5 total bases line against a White Sox rotation that has struggled all season is a conservative, repeatable spot. The near-even juice on a line that Buxton — when healthy and in the lineup — clears in roughly half his games represents solid value, and the White Sox are a below-average pitching staff in 2026. The market has this priced almost exactly at a coin flip, which for an elite hitter against a weak staff is an underestimate."
2026-05-27,MLB,Seattle Mariners @ Athletics,Logan Gilbert Over 17.5 Outs,pitcher_outs,-105,DraftKings,2,MEDIUM,pending,0,,"Gilbert is one of the most durable starters in the AL and routinely pitches into the sixth inning or deeper, making 17.5 outs (5.2 IP) a clearable floor rather than a stretch. The Athletics rank among the weaker offensive clubs and the total of 9.0 suggests a run environment that keeps starters in games; at -105 this is near-even juice on a repeatable outcome."
2026-05-27,MLB,Seattle Mariners @ Athletics,Jeffrey Springs Over 4.5 Strikeouts,pitcher_strikeouts,-116,DraftKings,2,MEDIUM,pending,0,,"Springs at 4.5 Ks sits at the preferred conservative threshold from the ESM framework and the juice at -116 stays inside the hard ceiling. The Mariners lineup has strikeout tendencies and Springs — when healthy — is a swing-and-miss arm; four-plus strikeouts in five-plus innings is a realistic floor, not a ceiling ask."
2026-05-27,MLB,Chicago Cubs @ Pittsburgh Pirates,Jameson Taillon Over 17.5 Outs,pitcher_outs,-109,DraftKings,2,MEDIUM,pending,0,,"Taillon is a contact-inducing, efficient starter whose profile aligns well with clearing 17.5 outs (5.2 innings); his low-walk tendency keeps pitch counts manageable and the Cubs at -102 on the ML signals a competitive game that keeps starters in. At -109 this is essentially even-money on a durable arm in a neutral matchup."
2026-05-27,MLB,Arizona Diamondbacks @ San Francisco Giants,Mike Soroka Over 5.5 Strikeouts,pitcher_strikeouts,119,DraftKings,2,LEAN,pending,0,,"Soroka at 5.5 Ks is being offered at +119, which clears the ESM rule requiring plus money for any strikeout line above 5.5 — technically this line IS at 5.5 so the standard -130 ceiling applies but plus money here provides genuine EV. The Diamondbacks carry strikeout vulnerabilities across their lineup and Soroka has the arsenal to reach six Ks against a divisional opponent in a low-total (7.5) game that stays competitive."
2026-05-27,MLB,Tampa Bay Rays @ Baltimore Orioles,Jose Barrero Over 0.5 Hits,batter_hits,-139,DraftKings,2,LEAN,pending,0,,"Barrero at -139 sits inside the hard juice ceiling and is one of the better-priced 0.5 hit overs on the slate; the Rays enter as -110 underdogs in a 9.0-total game that projects as a run-scoring environment, keeping starter Steven Matz on a short leash and creating favorable plate-appearance volume. This is a floor play — Barrero needs one hit in a high-run game."
